,0,1,2,3,4,5,6,7,8,9,10,11
0,contig_103,JANSVD010000007.1,97.417,14362,235,42,6146,20433,38554,52853,0.0,24341
1,contig_103,JANSVD010000007.1,98.219,7522,100,13,21475,28992,54247,61738,0.0,13117
2,contig_103,JANSVD010000007.1,96.845,1775,49,5,2,1775,25304,27072,0.0,2961
3,contig_103,JANSVD010000007.1,85.464,2621,200,67,3355,5886,34548,37076,0.0,2562
4,contig_103,JANSVD010000007.1,96.664,1409,27,8,30807,32207,61919,63315,0.0,2324
5,contig_103,JANSVD010000007.1,86.506,1986,150,58,4032,5948,1141765,1139829,0.0,2074
6,contig_103,JANSVD010000007.1,92.054,1120,70,12,1877,2991,27086,28191,0.0,1557
7,contig_103,JANSVD010000007.1,94.362,940,25,9,20552,21483,52938,53857,0.0,1417
8,contig_103,JANSVD010000007.1,85.886,581,59,20,2699,3270,28991,29557,6.18e-169,597
9,contig_103,JANSVD010000007.1,92.542,295,18,4,2699,2991,28523,28815,1.43e-115,420
10,contig_103,JANSVD010000007.1,92.177,294,19,4,2699,2990,28055,28346,2.40e-113,412
11,contig_103,JANSVD010000007.1,77.381,756,99,40,3421,4139,4414,5134,1.88e-104,383
12,contig_103,JANSVD010000007.1,76.443,849,106,52,3342,4139,14910,15715,1.13e-101,374
13,contig_103,JANSVD010000007.1,94.538,238,13,0,2699,2936,28679,28916,5.27e-100,368
14,contig_103,JANSVD010000007.1,94.118,238,14,0,2699,2936,28211,28448,2.45e-98,363
15,contig_103,JANSVD010000007.1,88.889,270,25,2,6368,6637,1137479,1137215,8.95e-88,327
16,contig_103,JANSVD010000007.1,84.564,298,36,9,2699,2991,28367,28659,1.52e-75,287
17,contig_103,JANSVD010000007.1,84.564,298,36,9,2699,2991,28835,29127,1.52e-75,287
18,contig_103,JANSVD010000007.1,75.125,800,101,63,3405,4147,1235,1993,5.46e-75,285
19,contig_103,JANSVD010000007.1,98.160,163,3,0,30379,30541,61757,61919,5.46e-75,285
20,contig_103,JANSVD010000007.1,73.697,825,101,64,3372,4139,30876,31641,7.27e-54,215
21,contig_103,JANSVD010000007.1,91.304,138,10,2,2699,2835,29147,29283,1.58e-45,187
22,contig_103,JANSVD010000007.1,77.447,235,26,8,3182,3391,3584,3816,7.58e-24,115
23,contig_103,JANSVD010000007.1,90.244,82,8,0,2855,2936,27899,27980,1.27e-21,108
24,contig_103,JANSVD010000004.1,96.845,1775,49,5,2,1775,1318795,1317027,0.0,2961
25,contig_103,JANSVD010000004.1,82.488,2050,197,85,3365,5318,11636,13619,0.0,1648
26,contig_103,JANSVD010000004.1,92.054,1120,70,13,1877,2991,1317013,1315908,0.0,1557
27,contig_103,JANSVD010000004.1,86.435,575,61,15,2705,3270,1315102,1314536,6.13e-174,614
28,contig_103,JANSVD010000004.1,80.802,823,91,42,3355,4139,1326222,1325429,1.73e-164,582
29,contig_103,JANSVD010000004.1,79.665,836,77,40,3355,4139,1313322,1312529,1.78e-144,516
30,contig_103,JANSVD010000004.1,93.080,289,16,4,2705,2991,1315570,1315284,1.43e-115,420
31,contig_103,JANSVD010000004.1,92.708,288,17,4,2705,2990,1316038,1315753,2.40e-113,412
32,contig_103,JANSVD010000004.1,94.538,238,13,0,2699,2936,1315420,1315183,5.27e-100,368
33,contig_103,JANSVD010000004.1,94.118,238,14,0,2699,2936,1315888,1315651,2.45e-98,363
34,contig_103,JANSVD010000004.1,76.005,796,108,45,3385,4139,7260,8013,5.35e-90,335
35,contig_103,JANSVD010000004.1,84.564,298,36,9,2699,2991,1315264,1314972,1.52e-75,287
36,contig_103,JANSVD010000004.1,84.564,298,36,9,2699,2991,1315732,1315440,1.52e-75,287
37,contig_103,JANSVD010000004.1,75.000,764,114,55,3362,4084,1310277,1309550,7.06e-74,281
38,contig_103,JANSVD010000004.1,73.786,824,107,59,3372,4157,1642,2394,1.21e-56,224
39,contig_103,JANSVD010000004.1,91.304,138,10,2,2699,2835,1314952,1314816,1.58e-45,187
40,contig_103,JANSVD010000004.1,75.658,304,31,19,3130,3394,6410,6709,9.81e-23,111
41,contig_103,JANSVD010000004.1,92.105,76,6,0,2861,2936,1316194,1316119,1.27e-21,108
42,contig_103,JANSVD010000004.1,96.552,58,2,0,3337,3394,1310877,1310820,2.75e-18,97.1
43,contig_103,JANSVD010000008.1,85.012,2582,225,87,3387,5876,1111649,1109138,0.0,2475
44,contig_103,JANSVD010000008.1,81.409,866,78,37,3355,4176,1429,2255,6.09e-179,630
45,contig_103,JANSVD010000008.1,83.023,430,42,14,5471,5886,9966,10378,8.82e-98,361
46,contig_103,JANSVD010000008.1,87.847,288,30,3,6360,6646,1043207,1043490,1.92e-89,333
47,contig_103,JANSVD010000010.1,84.780,2615,214,73,3376,5898,1010321,1007799,0.0,2455
48,contig_103,JANSVD010000010.1,80.331,544,72,18,4164,4693,9978,10500,2.44e-103,379
49,contig_103,JANSVD010000010.1,93.103,232,9,4,6137,6364,29964,30192,1.92e-89,333
50,contig_103,JANSVD010000010.1,73.729,826,113,61,3372,4157,7451,8212,9.33e-58,228
51,contig_103,JANSVD010000010.1,86.364,154,10,5,6529,6671,972124,971971,1.24e-36,158
52,contig_103,JANSVD010000010.1,100.000,35,0,0,6157,6191,29206,29240,7.74e-09,65.8
53,contig_103,JANSVD010000009.1,85.031,2572,190,84,3355,5823,1015853,1013374,0.0,2436
54,contig_103,JANSVD010000009.1,84.395,2621,202,100,3355,5886,7346,9848,0.0,2383
55,contig_103,JANSVD010000009.1,75.368,475,73,34,5833,6280,11934,12391,4.40e-46,189
56,contig_103,JANSVD010000009.1,76.642,137,25,5,5833,5968,1011314,1011184,5.99e-10,69.4
57,contig_103,JANSVD010000001.1,84.343,2625,236,74,3355,5872,1443,3999,0.0,2409
58,contig_103,JANSVD010000001.1,96.266,1339,42,6,30875,32207,1797256,1798592,0.0,2189
59,contig_103,JANSVD010000001.1,95.133,1356,46,8,29534,30878,1789437,1790783,0.0,2121
60,contig_103,JANSVD010000001.1,81.640,866,77,36,3355,4176,996994,997821,0.0,643
61,contig_103,JANSVD010000001.1,77.936,843,74,51,3355,4139,1013353,1014141,1.11e-116,424
62,contig_103,JANSVD010000001.1,97.175,177,3,1,28955,29131,1789270,1789444,7.01e-79,298
63,contig_103,JANSVD010000001.1,81.232,357,27,20,3808,4139,1008373,1008714,5.54e-65,252
64,contig_103,JANSVD010000001.1,77.027,518,65,28,3684,4176,2283830,2283342,7.16e-64,248
65,contig_103,JANSVD010000001.1,84.211,228,13,15,3874,4082,1036178,1035955,2.03e-49,200
66,contig_103,JANSVD010000001.1,93.496,123,6,2,29248,29368,2255113,2254991,7.37e-44,182
67,contig_103,JANSVD010000001.1,91.538,130,2,3,29128,29256,1054941,1055062,1.60e-40,171
68,contig_103,JANSVD010000001.1,91.538,130,2,3,29128,29256,1091330,1091209,1.60e-40,171
69,contig_103,JANSVD010000001.1,96.117,103,3,1,29214,29316,1734892,1734993,2.06e-39,167
70,contig_103,JANSVD010000001.1,83.007,153,12,5,4025,4176,1011508,1011647,3.50e-27,126
71,contig_103,JANSVD010000001.1,89.744,78,6,2,29276,29352,1715566,1715642,7.64e-19,99.0
72,contig_103,JANSVD010000001.1,98.148,54,0,1,29132,29184,1734847,1734900,3.55e-17,93.5
73,contig_103,JANSVD010000001.1,91.667,60,4,1,4081,4139,1023536,1023477,7.69e-14,82.4
74,contig_103,JANSVD010000001.1,97.727,44,1,0,29154,29197,2255181,2255138,3.58e-12,76.8
75,contig_103,JANSVD010000003.1,83.883,2668,241,98,3387,5948,1432637,1430053,0.0,2370
76,contig_103,JANSVD010000003.1,83.782,2602,219,103,3385,5886,4118,6616,0.0,2279
77,contig_103,JANSVD010000003.1,86.436,376,45,4,6360,6733,712196,711825,1.12e-111,407
78,contig_103,JANSVD010000003.1,83.660,153,11,5,4025,4176,1545,1684,7.53e-29,132
79,contig_103,JANSVD010000005.1,86.141,2078,162,54,3874,5872,1960,3990,0.0,2126
80,contig_103,JANSVD010000005.1,84.714,1714,142,61,3393,5050,1246240,1244591,0.0,1604
81,contig_103,JANSVD010000005.1,86.771,892,64,16,5053,5898,1244292,1243409,0.0,944
82,contig_103,JANSVD010000005.1,88.412,233,24,2,5804,6033,1241825,1241593,9.14e-73,278
83,contig_103,JANSVD010000005.1,84.581,227,14,15,3874,4083,1249733,1249511,4.37e-51,206
84,contig_103,JANSVD010000005.1,80.882,136,24,2,5833,5968,8872,9005,4.56e-21,106
85,contig_103,JANSVD010000006.1,81.323,2736,266,112,3372,5948,1240496,1237847,0.0,1995
86,contig_103,JANSVD010000006.1,85.088,1871,161,64,3362,5182,1465,3267,0.0,1801
87,contig_103,JANSVD010000006.1,84.528,530,42,22,5386,5898,3271,3777,3.88e-136,488
88,contig_103,JANSVD010000006.1,76.978,139,23,4,5833,5968,5740,5872,1.66e-10,71.3
89,contig_103,JANSVD010000006.1,76.978,139,23,4,5833,5968,6616,6748,1.66e-10,71.3
90,contig_103,JANSVD010000011.1,82.862,1803,170,73,3372,5108,971982,970253,0.0,1489
91,contig_103,JANSVD010000011.1,85.413,617,48,18,5281,5872,970243,969644,1.33e-170,603
92,contig_103,JANSVD010000011.1,89.952,209,18,1,5833,6041,13284,13489,1.98e-69,267
93,contig_103,JANSVD010000011.1,84.387,269,27,4,4164,4432,4220,4473,1.99e-64,250
94,contig_103,JANSVD010000011.1,73.795,809,112,56,3388,4157,1639,2386,9.33e-58,228
95,contig_103,JANSVD010000015.1,86.415,979,87,27,4222,5182,8803,9753,0.0,1029
96,contig_103,JANSVD010000015.1,86.990,515,37,13,5386,5886,9757,10255,1.36e-155,553
97,contig_103,JANSVD010000015.1,79.939,658,71,31,3591,4227,7888,8505,8.57e-118,427
98,contig_103,JANSVD010000002.1,86.667,375,44,4,6360,6732,1675692,1676062,8.63e-113,411
99,contig_103,JANSVD010000002.1,77.808,739,97,44,3375,4082,12145,12847,8.70e-108,394
100,contig_103,JANSVD010000002.1,87.640,89,10,1,3309,3396,1729903,1729815,5.90e-20,102
101,contig_103,JANSVD010000002.1,91.525,59,4,1,4082,4139,19270,19328,2.77e-13,80.5
102,contig_111,JANSVD010000011.1,97.801,57623,972,123,216260,273749,67875,10415,0.0,99118
103,contig_111,JANSVD010000011.1,97.269,55429,1149,132,114201,169493,177024,121825,0.0,93633
104,contig_111,JANSVD010000011.1,97.297,31746,646,83,82562,114209,208679,177048,0.0,53675
105,contig_111,JANSVD010000011.1,97.439,30181,608,73,41705,71773,245591,215464,0.0,51299
106,contig_111,JANSVD010000011.1,97.651,20563,334,88,6241,26729,287858,267371,0.0,35159
107,contig_111,JANSVD010000011.1,96.454,14920,320,67,26880,41710,266487,251688,0.0,24428
108,contig_111,JANSVD010000011.1,96.835,14596,311,38,181105,195658,103470,88984,0.0,24255
109,contig_111,JANSVD010000011.1,97.857,10452,168,21,195690,206100,89012,78576,0.0,18009
110,contig_111,JANSVD010000011.1,97.953,9770,147,24,206097,215844,77608,67870,0.0,16885
111,contig_111,JANSVD010000011.1,97.138,7687,179,16,170568,178234,120429,112764,0.0,12938
112,contig_111,JANSVD010000011.1,97.110,7059,126,48,6282,13304,323269,330285,0.0,11834
113,contig_111,JANSVD010000011.1,93.849,3024,107,33,79530,82502,211673,208678,0.0,4481
114,contig_111,JANSVD010000011.1,93.125,2909,143,17,178203,181084,112759,109881,0.0,4211
115,contig_111,JANSVD010000011.1,81.494,2102,299,50,76834,78903,214456,212413,0.0,1644
116,contig_111,JANSVD010000011.1,95.464,970,39,4,169536,170504,121419,120454,0.0,1543
117,contig_111,JANSVD010000011.1,93.694,333,12,7,273738,274068,4525,4200,1.01e-135,490
118,contig_111,JANSVD010000011.1,85.407,418,35,17,270839,271239,967581,967989,8.09e-112,411
119,contig_111,JANSVD010000011.1,83.721,430,41,14,271289,271700,968197,968615,2.28e-102,379
120,contig_111,JANSVD010000011.1,91.386,267,23,0,274467,274733,3830,3564,1.78e-98,366
121,contig_111,JANSVD010000011.1,83.095,420,54,13,215851,216262,246001,245591,1.78e-98,366
122,contig_111,JANSVD010000011.1,78.424,533,51,34,273611,274101,970751,971261,3.96e-75,289
123,contig_111,JANSVD010000011.1,91.089,202,15,2,274119,274317,3836,3635,1.43e-69,270
124,contig_111,JANSVD010000011.1,80.000,220,39,5,274273,274488,3853,3635,1.16e-35,158
125,contig_111,JANSVD010000011.1,92.079,101,6,2,271289,271387,967180,967280,1.17e-30,141
126,contig_111,JANSVD010000011.1,90.090,111,4,5,279026,279129,729,619,1.52e-29,137
127,contig_111,JANSVD010000011.1,91.892,74,2,2,274704,274776,3318,3248,1.99e-18,100
128,contig_111,JANSVD010000011.1,87.356,87,5,3,6146,6229,323089,323172,9.26e-17,95.3
129,contig_111,JANSVD010000011.1,84.536,97,7,6,6146,6238,287982,287890,4.31e-15,89.8
130,contig_111,JANSVD010000011.1,83.562,73,7,3,271172,271239,966907,966979,2.61e-07,63.9
131,contig_111,JANSVD010000011.1,94.444,36,0,2,55833,55867,231396,231430,1.57e-04,54.7
132,contig_111,JANSVD010000011.1,100.000,28,0,0,285612,285639,13330,13357,5.65e-04,52.8
133,contig_111,CM046022.1,93.673,10748,316,255,291650,302169,57231,46620,0.0,15745
134,contig_111,CM046022.1,96.875,32,1,0,292674,292705,56171,56202,1.57e-04,54.7
135,contig_111,JANSVD010000007.1,97.241,7031,119,46,6306,13304,1145330,1152317,0.0,11839
136,contig_111,JANSVD010000007.1,85.409,514,66,8,274118,274628,9106,8599,2.77e-146,525
137,contig_111,JANSVD010000007.1,85.861,488,61,7,274144,274628,7211,6729,2.16e-142,512
138,contig_111,JANSVD010000007.1,84.104,541,72,12,274124,274661,6889,6360,7.76e-142,510
139,contig_111,JANSVD010000007.1,86.383,470,60,3,274160,274628,8895,8429,7.76e-142,510
140,contig_111,JANSVD010000007.1,84.151,530,77,6,274119,274646,10465,9941,1.00e-140,507
141,contig_111,JANSVD010000007.1,83.962,530,80,5,274118,274646,7406,6881,1.30e-139,503
142,contig_111,JANSVD010000007.1,84.600,513,72,7,274118,274628,7576,7069,1.30e-139,503
143,contig_111,JANSVD010000007.1,85.276,489,66,5,274160,274646,8385,7901,1.68e-138,499
144,contig_111,JANSVD010000007.1,84.436,514,71,8,274118,274628,9956,9449,6.04e-138,497
145,contig_111,JANSVD010000007.1,84.344,511,74,5,274138,274646,8577,8071,2.17e-137,496
146,contig_111,JANSVD010000007.1,83.969,524,77,6,274125,274646,10289,9771,2.17e-137,496
147,contig_111,JANSVD010000007.1,83.677,533,76,9,274118,274646,8086,7561,2.81e-136,492
148,contig_111,JANSVD010000007.1,83.779,524,78,6,274125,274646,8249,7731,1.01e-135,490
149,contig_111,JANSVD010000007.1,84.047,514,73,7,274118,274628,7746,7239,1.31e-134,486
150,contig_111,JANSVD010000007.1,83.459,532,79,9,274118,274646,9616,9091,1.31e-134,486
151,contig_111,JANSVD010000007.1,83.271,532,80,8,274118,274646,10126,9601,6.08e-133,481
152,contig_111,JANSVD010000007.1,84.926,471,65,5,274160,274628,9405,8939,3.66e-130,472
153,contig_111,JANSVD010000007.1,88.295,393,46,0,4325,4717,1144405,1144797,3.66e-130,472
154,contig_111,JANSVD010000007.1,83.431,513,78,7,274118,274628,9786,9279,1.32e-129,470
155,contig_111,JANSVD010000007.1,88.041,393,47,0,5659,6051,1144405,1144797,1.70e-128,466
156,contig_111,JANSVD010000007.1,83.845,489,73,6,274160,274646,9235,8751,7.92e-127,460
157,contig_111,JANSVD010000007.1,83.235,507,77,8,274124,274628,8759,8259,2.85e-126,459
158,contig_111,JANSVD010000007.1,83.607,488,76,4,274160,274646,7025,6541,3.69e-125,455
159,contig_111,JANSVD010000007.1,83.865,502,56,20,270757,271251,1138148,1138631,3.69e-125,455
160,contig_111,JANSVD010000007.1,82.143,532,86,8,274118,274646,7916,7391,6.17e-123,448
161,contig_111,JANSVD010000007.1,80.656,610,58,29,273521,274101,1141116,1141694,4.84e-114,418
162,contig_111,JANSVD010000007.1,81.746,504,47,23,273621,274101,35775,35294,2.28e-102,379
163,contig_111,JANSVD010000007.1,85.586,333,44,3,274160,274491,6685,6356,2.31e-92,346
164,contig_111,JANSVD010000007.1,82.979,376,58,5,274273,274646,10482,10111,5.01e-89,335
165,contig_111,JANSVD010000007.1,88.530,279,22,8,270982,271251,1139180,1139457,2.33e-87,329
166,contig_111,JANSVD010000007.1,85.662,272,27,7,270944,271213,1137893,1137632,3.08e-71,276
167,contig_111,JANSVD010000007.1,85.185,270,34,5,271488,271755,1138841,1139106,3.98e-70,272
168,contig_111,JANSVD010000007.1,86.364,198,22,5,274124,274320,6549,6356,8.81e-52,211
169,contig_111,JANSVD010000007.1,84.663,163,22,2,274467,274628,10459,10299,3.24e-36,159
170,contig_111,JANSVD010000007.1,89.189,111,5,6,279026,279129,30025,29915,7.05e-28,132
171,contig_111,JANSVD010000007.1,88.350,103,7,5,279032,279129,14215,14113,5.49e-24,119
172,contig_111,JANSVD010000007.1,79.096,177,22,13,271215,271388,1137909,1138073,1.19e-20,108
173,contig_111,JANSVD010000007.1,97.143,35,1,0,271354,271388,37255,37221,3.38e-06,60.2
174,contig_111,JANSVD010000003.1,97.208,7019,109,50,6318,13304,625733,618770,0.0,11795
175,contig_111,JANSVD010000003.1,97.291,6793,92,54,6318,13073,657087,650350,0.0,11441
176,contig_111,JANSVD010000003.1,88.128,2569,287,13,2158,4717,660966,658407,0.0,3038
177,contig_111,JANSVD010000003.1,88.235,612,65,6,274118,274727,1435803,1436409,0.0,725
178,contig_111,JANSVD010000003.1,86.867,533,61,8,274118,274647,1434953,1435479,3.48e-165,588
179,contig_111,JANSVD010000003.1,87.524,513,57,6,274118,274628,1434613,1435120,1.25e-164,586
180,contig_111,JANSVD010000003.1,86.940,513,60,6,274118,274628,1435293,1435800,1.26e-159,569
